Team,ELO,XG,XGA,Win Percentage,Draw Percentage,Team Form,Team Cumulative Points
Manchester Utd,1641,57.0,73.0,60.55,21.94,0.3333333333333333,57
Leicester City,1485,49.0,54.0,33.44,25.73,0.2,31
Everton,1580,30.0,60.0,35.78,27.81,0.6666666666666666,48
West Ham,1574,36.0,75.0,33.61,25.23,0.2666666666666666,52
Tottenham,1640,85.0,65.0,43.93,23.9,0.2,63
Aston Villa,1693,56.0,61.0,35.22,27.88,0.5333333333333333,68
Arsenal,1826,94.0,61.0,54.77,24.04,0.8,86
Crystal Palace,1596,56.0,72.0,29.12,26.17,0.8666666666666667,46
Liverpool,1772,99.0,52.0,53.06,24.61,0.5333333333333333,79
Southampton,1402,36.0,83.0,30.34,26.76,0.0,24
Newcastle Utd,1648,59.0,57.0,37.69,25.54,0.6666666666666666,57
Manchester City,1883,97.0,55.0,50.92,21.41,1.0,88
Chelsea,1675,86.0,64.0,52.65,24.78,0.8666666666666667,60
Bournemouth,1560,61.0,66.0,30.19,21.97,0.2666666666666666,48
Brighton,1577,66.0,60.0,29.43,32.08,0.3333333333333333,48
Fulham,1552,91.0,61.0,29.3,26.24,0.3333333333333333,44
Wolves,1536,47.0,73.0,30.08,24.6,0.2666666666666666,46
Brentford,1555,66.0,93.0,33.63,26.55,0.6666666666666666,39
Nottingham Forest,1482,74.0,56.0,28.21,29.04,0.2666666666666666,33
Ipswich Town,1300,30,30,28.36,26.37,0.33,0
