Team,ELO,XG,XGA,Win Percentage,Draw Percentage,Team Form,Team Cumulative Points,Team Form Statistics
Leicester City,885,52.0,48.0,34.04,26.19,0.4666666666666667,49,0.2340272217774209
Everton,797,47.0,59.0,36.32,27.83,0.6666666666666666,39,0.2068054443554831
West Ham,875,46.0,49.0,33.67,25.35,0.3333333333333333,56,0.2308246597277806
Tottenham,980,72.0,65.0,43.43,24.46,0.5333333333333333,62,0.331705364291432
Arsenal,966,65.0,45.0,53.69,24.67,0.6,66,0.2868694955964759
Crystal Palace,857,50.0,59.0,28.74,25.75,0.5333333333333333,45,0.2372297838270611
Liverpool,1152,101.0,40.0,52.82,24.5,0.8666666666666667,89,0.4694155324259395
Southampton,764,62.0,64.0,30.96,27.26,0.0666666666666666,40,0.1875900720576452
Newcastle Utd,896,41.0,65.0,36.82,25.58,0.6,43,0.1827862289831854
Manchester City,1159,106.0,44.0,49.12,21.85,0.8666666666666667,90,0.5238590872698151
Aston Villa,830,24.0,50.0,34.14,28.41,0.5333333333333333,45,0.2516413130504392
Chelsea,985,75.0,33.0,53.65,24.61,0.5333333333333333,70,0.35412329863891
Manchester Utd,908,40.0,55.0,61.08,22.37,0.2666666666666666,58,0.2612489991993587
Bournemouth,790,49.0,62.0,29.1,22.87,0.2666666666666666,31,-1.2983987189751809
Brighton,882,51.0,59.0,24.87,34.39,0.5333333333333333,48,0.2372297838270611
Fulham,721,41.0,44.0,28.47,27.07,0.1333333333333333,28,-0.928502802241794
Wolves,824,32.0,57.0,29.7,25.58,0.1333333333333333,51,0.2340272217774209
Leeds United,797,48.0,71.0,39.59,25.83,0.1333333333333333,35,0.003442754203362
Brentford,560,54.0,51.0,35.14,18.92,0.6666666666666666,46,-0.5297838270616507
Nott'ham Forest,300,30.0,60.0,15.0,15.0,0.133,0,-1.4761409127301848
